x,0.0,0.015000000000000013,0.03019999999999993,0.06019999999999975,0.15000000000000224,0.3001999999999996,1.0001999999999225
-4.0,462,472,538,518,516,446,380
-3.9,482,509,538,492,468,448,411
-3.8,473,491,521,493,462,455,377
-3.6999999999999997,478,509,515,506,484,469,364
-3.5999999999999996,501,484,497,550,461,458,403
-3.4999999999999996,539,506,512,521,460,442,384
-3.3999999999999995,518,477,486,506,458,451,383
-3.2999999999999994,513,530,487,514,428,433,369
-3.1999999999999993,500,504,450,468,470,422,359
-3.099999999999999,518,532,485,509,483,434,386
-2.999999999999999,476,487,476,521,459,402,402
-2.899999999999999,450,490,522,503,431,449,408
-2.799999999999999,490,479,484,468,476,397,347
-2.699999999999999,520,509,523,485,453,429,373
-2.5999999999999988,511,501,544,496,427,391,353
-2.4999999999999987,519,488,485,476,429,379,377
-2.3999999999999986,476,479,494,483,408,395,373
-2.2999999999999985,533,507,425,469,381,431,390
-2.1999999999999984,504,482,459,408,416,369,399
-2.0999999999999983,530,515,483,429,383,365,376
-1.9999999999999982,483,482,474,456,401,373,360
-1.8999999999999981,501,506,490,458,378,384,402
-1.799999999999998,483,465,415,391,345,369,386
-1.699999999999998,514,489,426,352,366,371,350
-1.5999999999999979,518,425,426,362,346,327,382
-1.4999999999999978,495,437,379,359,331,330,398
-1.3999999999999977,509,372,345,376,322,291,363
-1.2999999999999976,507,371,352,313,310,341,363
-1.1999999999999975,495,339,304,269,291,349,338
-1.0999999999999974,534,273,260,284,277,374,354
-0.9999999999999973,0,207,235,232,301,327,371
-0.8999999999999972,0,196,236,213,256,323,412
-0.7999999999999972,0,143,159,194,274,317,354
-0.6999999999999971,0,116,153,212,245,323,372
-0.599999999999997,0,96,131,178,217,300,370
-0.4999999999999969,0,65,98,139,205,323,381
-0.3999999999999968,0,38,87,148,212,295,352
-0.2999999999999967,0,33,73,134,231,311,376
-0.19999999999999662,0,6,57,130,240,278,375
-0.09999999999999654,0,14,51,127,239,286,366
3.552713678800501e-15,0,9,48,131,236,317,347
0.1000000000000032,0,20,65,149,228,312,375
0.20000000000000373,0,21,82,140,245,281,368
0.30000000000000426,0,30,89,161,274,304,401
0.4000000000000039,0,52,108,148,266,317,414
0.5000000000000036,0,65,111,170,256,332,346
0.6000000000000041,0,90,143,192,267,337,356
0.7000000000000046,0,155,187,190,283,289,341
0.8000000000000043,0,166,202,203,302,347,378
0.9000000000000039,0,219,240,243,279,343,398
1.0000000000000044,483,279,254,293,280,312,358
1.100000000000005,541,316,303,304,287,336,377
1.2000000000000046,533,389,314,317,324,344,371
1.3000000000000043,543,409,356,306,298,337,365
1.4000000000000048,521,432,383,348,329,353,373
1.5000000000000053,489,439,397,345,346,359,339
1.600000000000005,488,426,422,374,360,364,403
1.7000000000000046,470,481,468,413,426,353,372
1.8000000000000052,494,504,454,406,356,319,365
1.9000000000000057,494,506,501,381,391,359,346
2.0000000000000053,466,523,486,450,410,369,379
2.100000000000005,572,503,520,439,441,362,418
2.2000000000000055,546,518,467,450,386,418,347
2.300000000000006,495,476,504,463,413,405,372
2.4000000000000057,519,489,528,462,443,430,387
2.5000000000000053,520,512,503,514,390,417,411
2.600000000000006,536,521,527,450,471,428,391
2.7000000000000064,521,477,488,456,484,423,412
2.800000000000006,513,494,511,453,451,412,366
2.9000000000000057,545,502,540,523,435,418,378
3.000000000000006,524,532,526,512,461,440,377
3.1000000000000068,517,503,505,507,459,423,397
3.2000000000000064,524,510,490,517,507,439,373
3.300000000000006,521,482,524,464,484,438,372
3.4000000000000066,480,504,482,511,495,443,329
3.500000000000007,507,499,505,515,496,439,377
3.6000000000000068,503,508,474,486,458,457,384
3.7000000000000064,493,505,477,539,456,440,398
3.800000000000007,479,498,468,508,491,448,403
3.9000000000000075,525,506,508,502,457,419,408
